scope,metric,value
principal,candidates,1536
principal,selected_case_count,240
principal,decision_pair_count,240
principal,excluded_from_matrix_count,0
partition,development,192
partition,held_out,48
principal,decision_flips,83
partition,development_flips,64
partition,held_out_flips,19
exception,profile_escape_executions,0
exception,not_comparable_executions,0
exception,pipeline_failure_executions,0
baseline_distribution,approve,56
changed_distribution,approve,53
baseline_distribution,deny,71
changed_distribution,deny,45
baseline_distribution,review,65
changed_distribution,review,94
baseline_distribution,invalid-input,48
changed_distribution,invalid-input,48
transition_matrix,approve->approve,26
transition_matrix,approve->deny,0
transition_matrix,approve->review,30
transition_matrix,approve->invalid-input,0
transition_matrix,deny->approve,0
transition_matrix,deny->deny,45
transition_matrix,deny->review,26
transition_matrix,deny->invalid-input,0
transition_matrix,review->approve,27
transition_matrix,review->deny,0
transition_matrix,review->review,38
transition_matrix,review->invalid-input,0
transition_matrix,invalid-input->approve,0
transition_matrix,invalid-input->deny,0
transition_matrix,invalid-input->review,0
transition_matrix,invalid-input->invalid-input,48
coverage,covered_graph_nodes,486
coverage,total_graph_nodes,498
coverage,covered_source_branches,90
coverage,total_source_branches,100
held_out_prediction,predicted_affected_strata,48
held_out_prediction,observed_flip_strata,19
held_out_prediction,predicted_and_observed_strata,19
held_out_prediction,observed_unpredicted_strata,0
smoke,cases,12
smoke,passed,12
smoke,failed,0
smoke,decision_flips,3
