scope,metric,value
principal,candidates,1536
principal,selected_case_count,240
principal,decision_pair_count,240
principal,excluded_from_matrix_count,0
partition,development,192
partition,held_out,48
principal,decision_flips,76
partition,development_flips,63
partition,held_out_flips,13
exception,profile_escape_executions,0
exception,not_comparable_executions,0
exception,pipeline_failure_executions,0
baseline_distribution,approve,65
changed_distribution,approve,69
baseline_distribution,deny,69
changed_distribution,deny,53
baseline_distribution,review,58
changed_distribution,review,70
baseline_distribution,invalid-input,48
changed_distribution,invalid-input,48
transition_matrix,approve->approve,37
transition_matrix,approve->deny,0
transition_matrix,approve->review,28
transition_matrix,approve->invalid-input,0
transition_matrix,deny->approve,0
transition_matrix,deny->deny,53
transition_matrix,deny->review,16
transition_matrix,deny->invalid-input,0
transition_matrix,review->approve,32
transition_matrix,review->deny,0
transition_matrix,review->review,26
transition_matrix,review->invalid-input,0
transition_matrix,invalid-input->approve,0
transition_matrix,invalid-input->deny,0
transition_matrix,invalid-input->review,0
transition_matrix,invalid-input->invalid-input,48
coverage,covered_graph_nodes,596
coverage,total_graph_nodes,620
coverage,covered_source_branches,102
coverage,total_source_branches,120
held_out_prediction,predicted_affected_strata,48
held_out_prediction,observed_flip_strata,13
held_out_prediction,predicted_and_observed_strata,13
held_out_prediction,observed_unpredicted_strata,0
smoke,cases,12
smoke,passed,12
smoke,failed,0
smoke,decision_flips,1
